id,prompt_index,prompt
1000,0,"An elderly man in a worn linen jacket and faded gray cap shuffles slowly into a cobblestone market square at first light. Sparse white hair pokes from beneath the cap and a brown leather satchel hangs across his right shoulder. Around him, vendors unfurl canvas awnings over wooden stalls and the first crates of produce are wheeled into place. Pale dawn light slants between brick buildings and casts long shadows over the wet cobblestones. His expression is soft and patient as he surveys the waking market. Medium tracking shot following him from a respectful distance."
1000,1,"The elderly man in the worn linen jacket and faded gray cap continues his unhurried stroll, drifting past a stall of stacked oranges and ruby tomatoes. He pauses to nod at the rosy-cheeked vendor, who returns the gesture without breaking from her arranging. The brown leather satchel sways gently against his hip as he resumes walking. More shoppers trickle in around him but the morning hush still holds. The cobblestones glisten under the strengthening dawn light. Medium tracking shot following him from a respectful distance."
1000,2,"The elderly man in the worn linen jacket and faded gray cap stops in front of a bakery stall where loaves of country bread cool on a flour-dusted board. A young baker in a white apron lifts a fresh loaf for him to inspect and he leans in to inhale the yeasty steam. The brown leather satchel tilts forward as his shoulders bend. The morning light has warmed to soft gold, catching the curls of crust on the bread. Medium tracking shot following him from a respectful distance."
1000,3,The elderly man in the worn linen jacket and faded gray cap drifts onward past a street violinist tuning up beneath a striped awning. He slows almost to a stop as the first thin notes rise into the cobblestone air. The brown leather satchel rests against his hip while his free hand taps lightly along his thigh in time with the melody. Other shoppers stream past in soft focus on either side of him. Medium tracking shot following him from a respectful distance.
1000,4,"The elderly man in the worn linen jacket and faded gray cap turns from the violinist into a narrow alley branching off the market. Vines and laundry lines crisscross above his head, dappling the path in shifting shadow. He moves at the same unhurried pace, the brown leather satchel brushing the brick of one wall as the passage tightens. A tabby cat watches him from a doorway and blinks slowly as he passes. Medium tracking shot following him from a respectful distance."
1000,5,"The elderly man in the worn linen jacket and faded gray cap emerges from the alley into a sun-flooded plaza ringed by stone benches. The morning has fully arrived and clear yellow light pours across the open square. He pauses at the edge of the plaza, the brown leather satchel settling against him, and surveys the space with the same patient gaze that opened his walk. The cobblestones underfoot are dry now and faintly warm. Medium tracking shot pulling back gently to take in the open square."
1001,0,"A young street photographer in a cherry-red knit beanie and oversized army-green jacket steps off a sidewalk into the neon glow of a Shibuya backstreet at dusk. A black film camera hangs at his chest on a braided strap, and a battered canvas tote slouches over his left shoulder. Vertical signs in pink and electric blue flicker overhead and steam curls from a ramen shop vent beside him. He scans the alley with a small, focused smile, raising the camera halfway. Medium tracking shot following him at hip height."
1001,1,"The young photographer in the cherry-red beanie and army-green jacket pads slowly past a pachinko parlor whose open doorway spills out chime noise and amber light. He pauses to frame a shot of three salarymen smoking under a sign shaped like a leaping carp. The black film camera presses to his eye, and the canvas tote bumps softly against his hip. Reflected neon stripes ripple across the wet asphalt under his sneakers. Medium tracking shot following him at hip height."
1001,2,"The young photographer in the cherry-red beanie and army-green jacket reaches the edge of the famous pedestrian scramble as the signal turns green. He steps off the curb into a wave of commuters, the black film camera lifted to capture the converging crowd. His canvas tote sways with the rhythm of his stride, and his beanie is just visible above a sea of darker heads. Towering screens overhead flash silent ads against the violet sky. Medium tracking shot following him at hip height."
1001,3,The young photographer in the cherry-red beanie and army-green jacket ducks into a slim ramen alley lit by paper lanterns strung overhead. Cooks behind sliding windows ladle broth into wooden bowls while smoke and chatter drift between low eaves. He lowers the black film camera to chest level and traces a finger along its focus ring as he walks. The canvas tote brushes against a hanging fabric curtain at the alley's mouth. Medium tracking shot following him at hip height.
1001,4,"The young photographer in the cherry-red beanie and army-green jacket emerges past a row of crane-game arcades, their glass cases packed with plush toys and glowing in candy colors. He raises the black film camera to shoot a girl in a school uniform pressing both palms against a window. The canvas tote rests against his hip and his expression is gentle, almost amused. Music leaks through the arcade doors behind him in muffled, layered loops. Medium tracking shot following him at hip height."
